individual,species
Antilocapra_americana_GSC_phorn_10,Antilocapra_americana_GSC_phorn_10
Antilocapra_americana_PH2016,Antilocapra_americana_PH2016
Okapia_johnstoni_TBG,Okapia_johnstoni_TBG
Giraffa_camelopardalis_GFE,Giraffa_camelopardalis_GFE
Giraffa_camelopardalis_antiquorum_PLA01,Giraffa_camelopardalis_antiquorum_PLA01
Giraffa_camelopardalis_rothschildi_ASM1759144v1,Giraffa_camelopardalis_rothschildi_ASM1759144v1
Giraffa_tippelskirchi_OR1865,Giraffa_tippelskirchi_OR1865
Bos_taurus_ARSUCD12,Bos_taurus_ARSUCD12
